village,soil,total_sqft,density,price(*100)
Morkhurd,2 index,1200,2,60
Mubarikpur,2 index,1128,2,48.79
Mubarikpur,2 index,1200,2,44.4
Murad Gaon Urf Kuwan Khera,4 index,2000,4,135
Muradpur Urf Sholda,3 index,2750,3,260
Muzaffarpur Khunti,4 index,2400,4,480
Nagla Azdi,3 index,1650,3,105
Nagla Chand,2 index,1235,2,148
Nagla Gusai,2 index,1200,2,55
Nagla Hareroo,6 index,900,5,100
Nagla Jarif,2 index,985,2,42
Nagla Salempur,3 index,1475,2,63
Nagla Shahu,3 index,3450,5,348
Nagli Abdulla,3 index,1157,2,53.99
Nagli Issa,2 index,900,2,35
Nagli Khadar,4 index,2500,3,120
Nagli Kithaur,2 index,1030,2,60
Nagori,2 index,1000,2,46
Nai Putha,4 index,3800,3,325
Naidru,4 index,4260,4,333
Narangpur,5 index,1950,6,175
Nasarpur,3 index,1570,2,65.94
Navipur Amanatnagar,2 index,1283,2,68
Nawal Surajpur,3 index,875,2,40
Neemka,2 index,1200,2,52
Niloha,3 index,2700,3,500
Nimka Viran,3 index,2400,2,180
Nirawali,3 index,1250,2,68.75
Nityanandpur,4 index,3630,6,196
Paharpur,2 index,990,2,37.62
Paharpur Kutub,2 index,1199,2,85
Paharpur Ram,2 index,1280,2,90
Pali,4 index,2750,4,413
Palra,2 index,1190,2,55
Parichhatgarh,2 index,1100,2,60
Parikshitgarh (NP),3 index,2075,3,175
Partapur Hansapur,2 index,1133,2,55
Paswara,4 index,2400,3,140
Pathanpur,2 index,1280,2,69
Penai,3 index,1250,3,65
Phalauda (NP),3 index,1565,2,49.3
Phalawda Rural,3 index,1900,3,65
Phitkari,2 index,1080,2,45
Pilona,1 index,600,1,47
Poothi,3 index,1240,4,180
Rachhoti,3 index,1335,2,87
Radhna Inayatpur,2 index,1246,2,67.3
Rafan,3 index,3103 - 3890,,237.5
Rahawati,3 index,1385,3,55
Rahmapur,3 index,1578,3,73.9
Rajoopur,2 index,1140,2,46
Rampur Ghoria,3 index,1700,3,79.9
Rampur Sadhu Nagli,4 index,1050,4,90
Rasulpur Goari,2 index,1120,2,70
Rasulpur Hansapur,1 index,435,1,22
Rasulpur Ikla,2 index,1116,2,51.89
Rathaura Khurd,3 index,1480,3,95
Rathora Kalan,2 index,1000,2,50
Rehadra,2 index,1145,2,46
Roopra,2 index,800,1,32
Rustampur Bhikund,2 index,1265,2,83
Sadarpur,3 index,1450 - 1950,3,88.2
Sadullapur,2 index,1475,2,70
Sadullapur,2 index,1265,2,55
Saidipur Sadipur Urf Ramnagar,2 index,1200,2,58
Saidipur Seth,3 index,2180,3,210
Saifpur Firojpur,2 index,1080,2,50
Saifpur Karamchandpur,3 index,2023,4,130
Sakoti,2 index,2400,2,125
Salah Rasulpur Panah,3 index,1545,2,66
Salarpur,3 index,1804,3,166
Sandhan,2 index,1200,2,200
Sanota,3 index,1350,2,58
Sarai Khadar,2 index,1108,2,74.23
Sarangpur,3 index,1730,3,115
Sathla,3 index,1427,2,70
Seena,2 index,935,2,35.53
Shah Kulipur,2 index,1073,2,31.77
Shahabad Garhi,2 index,960,2,37
Shahajhapur,3 index,2215,4,150
Shahapur,2 index,1125,2,32.49
Shahapur Khadar,2 index,1230,2,55
Shahipur,2 index,1438,2,89
Shahpur Sultanpur,2 index,1080,2,75
Shahzadpur,3 index,1200,3,125
Shamashpur,2 index,1200,1,103
Shamaspur,3 index,1590,3,58
Sherpur,3 index,1350,3,68
Shikhera,3 index,1400,2,48
Shimla,3 index,1560,2,72
Shirjepur,4 index,1810,3,57
Shivpuri,3 index,2274.24,4,160
Shodatt,3 index,1484,3,74.18
Sikandarpur,3 index,1650,3,220
Singhpur,3 index,1455,2,55
Sona,3 index,2280,4,184
Sujatpur,5 index,4900,5,980
Sultanpur Dabal,3 index,2079,3,220
Tajpura,2 index,1351,2,74
Takhawali,3 index,1223,2,42.81
Tarapur,3 index,1430,2,61
Tarbiyatpur Janubi,4 index,3589,5,400
Tarbiyatpur Shumali,3 index,1310,2,37.83
Tatina,4 index,1800,4,300
Tigri,4 index,1120,4,175
Tofapur,2 index,984,2,55
Veerkhera,3 index,1770,3,100
Akhtyarpur,2 index,900,3,105
Alamgirpur-Faridpur,5 index,1350,5,120
Andawali,2 index,1447,2,75.97
Aterna,2 index,1140,2,60
Atmadnagar Allipur,2 index,1170,2,34
Aurangnagar Rardhana,2 index,1160,2,46.39
Badruddinnagar Nanu,2 index,1296,2,89
Bahadurpur,3 index,1570,3,80
Bahrala,3 index,1495,2,65
Baparsa,3 index,1530,2,67
Baparsi,5 index,900,4,140
Barkali Nekpur,3 index,1800,3,70
Batjeora,2 index,1088,2,48
Bhalsauna,3 index,1533,3,98.18
Bhamori,2 index,1100,2,68
Bharota,3 index,1540,3,90
Bhawa-Nagla,2 index,1244,3,48
Bhuni,2 index,1040,2,68.59
Bihta,6 index,1034,6,101
Bubakpur,2 index,1260,2,39.69
Chandna,2 index,1180,2,41.3
Charla,2 index,1245,2,100
Chhabariya,3 index,1350,3,75
Chhur,3 index,1464,3,56
Chindauritappa Lawar,1 index,470,2,10
Chirori,2 index,920,2,60
Dabathuwa,6 index,2300,7,160
Dabathuwa Garhi,2 index,1124,2,30.35
Dadri,4 index,2095,3,109
Dahar,2 index,1100,2,71.42
Daulatpur,2 index,1019,2,58
Daurala (NP),3 index,1756,3,128
Deoli Khera Urf Jainpur,3 index,1280,3,50
Dhanju,4 index,1200,3,125
Dhanwali,3 index,1700,3,150
Dulehra Chauhan,3 index,2134,4,118
Gesupur Baphawat,2 index,1369.1,2,98
Gotka,3 index,600,3,69
Harar,3 index,1313,4,150
Ikari,3 index,2515,4,155
Jafarnagar-Begamabad,3 index,2215,4,154
Jainpur,3 index,1440,3,72
Jalalabad Urf Jalalpur,3 index,1186,2,55.33
Jalalpur-Akkhepur,3 index,1350,2,47.24
Jamalpur Goma,3 index,1800,3,140
Jamalpur Jalalpur,3 index,1600,3,79
Jasar Sultannagar,2 index,1000,2,35
Jasrathpur,3 index,2275,3,285
Jeori,3 index,1305,2,59
Jhitkari,3 index,1740,3,150
Jitpur,2 index,900,2,90
Julehra,2 index,1567,3,140
Kaili,3 index,1082,2,45.5
Kailota,2 index,1050,2,80
Kakkepur,2 index,1200,2,56
Kaland,3 index,3500,4,185
Kalandi,2 index,1220,2,52
Kamaruddinnagar Madhiyai,3 index,1970,3,164
Kanora,3 index,2665,3,350
Kapsarh,4 index,2130,4,120
Karnawal (NP),3 index,1749,3,120
Karnawal Rural,2 index,1260,2,108
Khanuda,3 index,1100Sq. Meter,2,48
Khawajahanpur-Kushawali,2 index,1170,2,120
Khera,3 index,1670,3,75
Kheri Jatran,3 index,2264,3,168
Kheri Kalan,4 index,3500,5,450
Kheri Tappa Lawar,2 index,1100,2,55
Khirwa Jalalpur,2 index,674,1,19.9
Khirwa Nauabad,2 index,1320,2,160
Khiwai,4 index,600,4,85
Kulanjan,2 index,1125,2,65
Lawar (NP),2 index,1125,2,44.5
Lawar Janaali Rural,2 index,700,2,29
Lawar Khas Rural,3 index,1300,2,75
Lawri Hiranpur,3 index,1600,3,83
Loiya,3 index,1052,2,60
Machhri,4 index,1140,3,145
Madaripur,2 index,1130,2,36
Madarpura,4 index,1140,3,225
Mahadeo,3 index,2200,3,220
Mahalka,3 index,1500,2,63
Mail,3 index,1350,3,47.25
Mainaputhi,3 index,1230,2,52
Maithna Indersingh,3 index,1520,2,85
Mamupur Urf Dedwa,1 index,525,1,26.25
Mamuri,2 index,1040,2,61
Mandora,3 index,1300,2,67
Mataur,4 index,2690,4,201
Mawi Mira,1 index,780,1,70
Meharmati Ganeshpur,2 index,1140,2,51.2
Mithepur,3 index,1225,3,33.08
Mohammadpur Akbarpur Chakbandi,1 index,646,1,25.84
Mohammadpur Akbarpur Chakbandi,3 index,1600,3,150
Mohammadpur Hayak,3 index,1890,4,125
Mohanipur,2 index,1050,2,34
Mozamabad-Jwalagarh,6 index,1200,4,100
Mukhtyarpur Nagla,3 index,1458,2,62
Mulhaira,5 index,1200,6,86
Nagla Order,3 index,1970,3,160
Nagla Rathi,3 index,1808,4,80
Nagli Ajar Salempur,2 index,1007,2,67
Nagli Mazra Mataur,2 index,1105,2,50
Nagli Sadharan,3 index,1700,3,150
Nahli,2 index,1170,2,50
Nangla Sani,2 index,1080,2,45
Nehori,3 index,1150,2,62
Pali,2 index,1200,2,57.9
Panchli Buzurg,2 index,1200,2,54
Panwari,3 index,1656,3,75
Pathauli,4 index,600,4,87
Pavli Khas,2 index,1040,2,50
Pavli Khurd,2 index,1085,2,33.7
Pithlokhar,3 index,1215,2,49.75
Pohali,4 index,2150,4,115
Rajpur Momin,4 index,1100,4,120
Rasulpur Muradnagar,2 index,1210,2,77
Ratauli,2 index,1050,2,55
Rithali,3 index,600,3,70
Ruhasa,3 index,1920,3,150
Sahipur Daurala,3 index,1250,2,50
Sakoti,2 index,947.55,2,80
Salawa,2 index,1421,2,90
Samaspur,6 index,1050,4,155
Samaspur Surani,3 index,1425,2,74.31
Samoli-Salempur,2 index,1162,2,58
Sardhana (NPP),1 index,905,1,60
Sardhana (Rural),2 index,914,2,32
Saroli Viran,2 index,1258,2,58
Sarswa,4 index,1100,4,220
Sarurpur Khurd,4 index,3500,4,289
Shahpur Pirpur,7 index,2400,6,450
Shahpur Zadid,4 index,4200,4,800
Siwaya-Jamalullapur,3 index,1537,2,70
Tanda,3 index,1230,2,53.51
Tandi,6 index,2400,5,300
Teharki,3 index,2250,3,200
Ulakhpur,4 index,2000,4,69
Walidpur,8 index,3000,4,130
Zafrabad-Durweshpur,4 index,2600,4,325
Afzalpur Pawati,4 index,3200,3,250
Ahara,2 index,950,2,32
Ajnauli,4 index,4000,4,200
Ajrara,3 index,1282,2,48.72
Alamgir Pur,2 index,1304,2,111
Alampur Buzurg,3 index,2100,3,200
Allipur,3 index,1220,2,49
Allipur Jijmana,3 index,1636,3,85
Amanullapur,3 index,1415,3,65
Amehra Adipur (CT),3 index,15Acres,3,217
Aminagar Urf Bhurbaral (CT),3 index,1728,3,125
Arnawali,3 index,1680,3,125
Ataula,2 index,1235,2,140
Atrara,4 index,900,2,115
Azampur,4 index,3990,4,260
Azizpur,2 index,1495,2,83
Badha Girdharpur,5 index,1500,5,175
Badhala Kaithwara,3 index,2501,3,138
Badholi,1 index,381,1,28
Bafar,4 index,3301.8,5,570
Bahadurpur,3 index,2002,3,120
Bahchaula,3 index,3200,3,260
Bahrampur Khas,2 index,1200,2,70
Bahrampur Morna,4 index,1500,3,235
Bajaut,3 index,1942,3,90
Banwaripur,3 index,1450 - 1595,,60.75
Baram,1 index,660,1,95
Barhanpur,4 index,1200,6,170
Basatikri,3 index,1450,3,90
Bhadaura,2 index,1039,2,50
Bhagwanpur,2 index,1210,2,80
Bhagwanpur Chittawan,2 index,995,1,24.88
Bhagwanpur Khalsa,3 index,1620,3,90
Bhavi,3 index,3204,4,395
Bhawanpur,3 index,3408,3,260
Bhurpur,2 index,1314,2,55
Bijoli,2 index,945,2,33
Bohla,3 index,1374,3,72
Chak Morna,3 index,1603,3,113
Chandora,3 index,1230,2,52
Chandsara,1 RK,670,1,50
Chhajmalpur Urf Chhajupur,4 index,1864,3,105
Chhattri,3 index,2500,3,100
Chindori Khas,3 index,1625,2,54
Chindori Patti Dalu,2 index,1186,2,55
Chobla,8 index,1500,7,382
Dalampur,2 index,770,1,39.9
Damgarhi,2 index,1085,2,45
Datavali Gesupur,4 index,3754,6,480
Daulatpur Fakhrabad Urf Kayast,3 index,1893,3,115
Dhadra,4 index,600,3,65
Dhanota,3 index,1496,2,78
Dhikauli,3 index,1305,3,33.28
Dhilaura,3 index,1550,2,82
Dhindala,3 index,1200,2,58.17
Dhir Khera,3 index,1494,2,94.55
Dilwara,2 index,1286,2,69
Dimoli,3 index,600,4,100
Dungar,3 index,1860,3,95
Durjanpur,1 index,425,1,750
Faizabad Pachgaon,2 index,1243,2,45
Fakharpur Kabatta,2 index,1200,2,75
Fatehpur,2 index,1044,2,32
Fatehpur Ambkhera,2 index,1040,2,41.59
Gagaul,2 index,1125,2,36.94
Gangheri,3 index,3489,3,662
Gejha,3 index,1278,2,59
Ghat,6 index,2400,6,98
Govindpur,2 index,1250,2,43
Govindpur Urf Ghasauli,5 index,2400,6,125
Gyanpur,5 index,4166,5,560
Hajipur,2 index,1210,2,75
Hasanpur Qadim,4 index,1200,3,110
Hasanpur Razapur,3 index,1157,2,57.84
Idris Pur,2 index,1185,2,51.15
Ikla,3 index,1450,3,100
Incholi,3 index,1859,3,121
Islamabad Chhilora,2 index,1763,3,262
Itayira,2 index,900,1,25
Jalalpur,3 index,1305,3,60
Jalaluddinpur Masoodpur Gawri,3 index,1200,2,100
Jamalpur Majra,1 index,763 - 805,1,35.285
Jangethi,,5000,,400
Jani Buzurg,2 index,1150,2,36.8
Jani Khurd,3 index,1806,3,85
Janjokhar,2 index,1027,2,42
Jasora,2 index,1002,2,40.08
Jasori,3 index,1220,2,36.21
Jataula,2 index,1109,2,35.22
Jatpura,2 index,1002,2,40.08
Jithauli,2 index,1308,2,89.04
Johra,2 index,1232,2,69.6
Jurranpur,2 index,1027,2,44
Kaili,2 index,1250,2,65
Kaithwari,6 index,900,6,170
Kalanjari,4 index,960,4,80
Kalina,2 index,1255,2,53.87
Kalyan Pur,3 index,1434,3,84
Kamalpur,2 index,925,2,30
Kanauni,3 index,1858,3,123
Kastala Shamshernagar,2 index,1205,2,70
Kaul,3 index,1500,3,90
Kazamabadgoon,3 index,1200,3,200
Khajuri,2 index,1020,2,48.95
Khandawali,2 index,965,2,56
Khanpur,5 index,1800,6,270
Khanpur,6 index,1200,4,90
Khardoni Shekhupur,2 index,1636,2,82.89
Kharkhari,3 index,1724,3,125
Kharkhauda,2 index,1216,2,67
Kharkhoda (NP),1 index,654,1,36.25
Khaspur,4 index,2460,7,80
Khawajahanpur,2 index,1190,2,41
Khera Balrampur,7 index,1200,5,180
Kheri Nizd Kalina,3 index,1636,3,92
Kherki Muzakkipur,2 index,1195,2,73
Khwajampur Majra,3 index,2400,3,251
Kinannagar,2 index,1250,2,67
Kishori,3 index,1452,3,90
Kitholi,3 index,1546,3,95
Kudhla,4 index,3307 - 3464,6,142
Kunkura,3 index,1440,3,275
Kurali,2 index,2260,3,80
Kuri,4 index,2700,3,90
Ladpura,2 index,1475,2,171
Laharra,4 index,3000,3,150
Lahaurgarh,1 index,375,1,26
Mahroli,2 index,1007,2,66
Makarmatpur Bharapur,1 index,1.26Acres,1,125
Mamipur,4 index,5422,6,1900
Mansabgarh,2 index,1020,2,47
Masoori,2 index,1000,2,150
Mau Khas,2 index,800,3,59.5
Medpur,5 index,1200,3,95
Meerut (CB),2 index,1125,2,55
Meerut (M Corp.),9 index,1150,9,140
Mehpa,3 index,909,2,43
Mewla,4 index,2850,5,240
Mirpur,2 index,1400,2,85
Mirpur Jakhera,2 index,1152,2,61
Mirzapur,2 index,958,2,34.49
Mohd.Pur Gumi,2 index,1150,2,55
Mohdpur Dhumi,3 index,2990,5,173
Mohiuddinpur (CT),2 index,1310,2,85
Mohiuddinpur Lalsana,3 index,1590,2,126
Morna,3 index,1645,3,110
Mundali,3 index,1800,2,100
Murlipur Phool,3 index,1795,3,150
Muzaffarnagar Saini,2 index,1100,2,35
Muzakkipur,1 index,620 - 934,1,38.535
Nagla Kaboolpur,2 index,925,2,70
Nagla Kumbha,3 index,1542.14,3,120
Nagla Mal,4 index,3746,6,375
Nagla Patu,3 index,1430,2,54
Nagla Shekhu,2 index,1020,2,55
Nagli Azamabad,4 index,750,2,42
Nalpur,2 index,1140,2,32.92
Nanu Fatahpur,3 index,967,2,45
Narahara,4 index,2470,4,203
Narangpur,2 index,850,1,35.5
Nek,2 index,1100,2,32
Nityanandpur,3 index,1697,3,110
Pabla,2 index,1250,2,47
Pachgaon Patti Amar Singh,2 index,1120,2,50
Pachgaon Patti Gopal,4 index,1200,4,95
Pachgaon Patti Sanwal,5 index,5100,6,375
Pachpera,4 index,2400,3,480
Paindapur,2 index,1200,2,52
Panchi,2 index,1100,2,44
Panchli Khurd,3 index,1417,2,76
Pastra,3 index,1492,3,88
Patti Kherki,3 index,1498,3,79.15
Peepli Khera,4 index,3500,2,350
Pepla,2 index,1010,2,48.27
Puth Khas,2 index,1255,2,53.5
Puthri,2 index,1050,2,35
Qasimpur,3 index,1847,3,125
Raghunathpur,2 index,1200,2,55
Rajpura,2 index,982,2,37.28
Rajpura,3 index,2144.6,4,145
Rali Chauhan,2 index,750,2,36.5
Rampur Moti,2 index,919,2,35
Rasna Mohammadpur Akbarpur,2 index,1087,2,54.3
Rasulpur Aurangabad,3 index,1480,3,74
Rasulpur Dhantala,2 index,1180,2,52
Rasulpur Dhaulri,3 index,2100,4,255
Rasulpur Marhi,3 index,1221,3,65
Rasulpur Rohta,2 index,1194,2,46
Rasulpur Zahid,3 index,2072,3,122
Rawa,3 index,1600,3,69
Rukanpur,3 index,2200,3,98
Ruknuddinpur Misri Urf Phaphun,3 index,1640,3,220
Sadharanpur,2 index,1253,2,81.5
Sadullapur Urf Chandpura,2 index,1061,2,54.92
Salahpur,3 index,1950,3,115
Salarpur Jalalpur,2 index,1250,2,68
Saleh Nagar,3 index,1585,2,80
Salempur,3 index,1452,3,60.98
Sameypur,2 index,1015,2,37
Satwai,4 index,2462 - 2467,6,118
Set Kuan,2 index,1125,2,56.8
Sewalkhas (NP),2 index,1116,2,40
Shafiabad Loti,1 index,400,1,35
Shahpur Jainpur,4 index,4000,4,325
Shakarpur,4 index,3900,4,410
Shaulana,2 index,1300,2,100
Shekhpuri,2 index,1419,2,60.42
Shipura,3 index,1310,2,55
Sial,3 index,2072,4,152
Sikarpur,2 index,1240,2,58.58
Sikhera,3 index,1565,3,98.91
Sikri,3 index,1820,3,89
Sindhawali (CT),3 index,2500,3,88
Sisola Buzurg,5 index,3657,5,310
Sisola Khurd,2 index,1245,2,62
Sisoli,3 index,1315,3,65
Siwal Khas,3 index,1410,2,73
Soharka,2 index,1375,2,60
Tatina Sani,2 index,1299,2,95
Thirot,2 index,993,2,45.5
Tikri,2 index,1200,3,45
Timakia,2 index,985,2,156
Ukasia,4 index,2400,5,180
Ukhleena,3 index,1255,2,95
Uldeypur,3 index,1655,3,131
Uldhan,4 index,2830,5,190
Uplehra,1 index,6000,1,276
Yusufabad,2 index,550,1,15
Achikalan,1 index,825,2,40
Afjalpur Urf Raninagla,3 index,1634,3,111
Agwanpur,8 index,1200,6,105
Ahmadnagar Badhla,2 index,1222,2,80
Ahmadpur Urf Dandoopur,3 index,1500,3,63
Ahmadpuri Urf Amanpuri,3 index,1890,4,100
Aidalpur,4 index,3750,6,375
Aidalpur,2 index,850,1,39.5
Akbaarpur Khadar,2 index,1295,2,78.5
Akbarpur Garhi,2 index,1320,2,100
Akbarpur Ichchhabad,4 index,950,3,179
Akbarpur Sadat,4 index,1200,4,225
Akheypur,4 index,3000,3,170
Alamgirpur Badhla,2 index,1197,2,82
Alawalpur,3 index,1320,2,60
Alipur Alampur,5 index,1180,5,98.5
Alipur Morna,1 index,840,1,57.6
Amarpur Mazra Khandawli,1 index,540 - 740,1,19.83
Amarsinghpur,3 index,1693,3,71.38
Ameharasani,2 index,1000,2,62
Aminabad Urf Baragoan,2 index,1305,2,70
Amroli Urf Baragoan,1 index,450,1,18
Asfabad,1 index,705,1,57
Asilpur,4 index,750,6,75
Askaripur,5 index,4800,5,150
Assa,4 index,5000,5,600
Atalpur,4 index,5000,4,425
Atmadpur,3 index,1991,3,104
Attaura,3 index,1779,3,90
Badhwa,4 index,10200,4,1250
Badhwi,2 index,870,2,38
Badshahpur,3 index,1595,3,120
Baghpur,1 index,525,1,26
Bahadurpur,4 index,945,5,120
Bahorpur,6 index,2400,4,420
Bahsuma (NP),3 index,2000,4,138
Bajampur,3 index,1614,3,93
Bali,2 index,1200,2,40
Bamnaula,3 index,1150,3,46
Bamnauli,4 index,3200,4,440
Bana,3 index,1610,3,80.48
Barauda,2 index,1190,2,41
Basiviran,2 index,1050,2,50
Bastora Norang,4 index,4800,5,420
Batawli,3 index,1460,2,97
Batnor,3 index,3400,3,400
Behbalpur,1 index,600,1,33
Behjadka,3 index,1569,3,70
Behlolpur,3 index,2600,3,147
Behrora,1 index,645,1,42.5
Behsuma,4 index,1200,3,180
Bela,3 index,800,3,95
Bhagawanpur,2 index,800,2,80
Bhagupur,2 index,1350,2,90
Bhagwanpur Bangar,3 index,2780,4,325
Bhagwanpur Khadar,3 index,1410,2,45.12
Bhainsa,2 index,1109,2,35.47
Bharolli,4 index,2000,3,1063
Bhattipura,1 index,800,1,72
Bhirwara,2 index,1215,2,68
Bhndora,8 index,1230,6,250
Bhogpur,3 index,2273,4,192
Bhojpur,2 index,1255,2,52.76
Bhuwa,2 index,1020,2,49
Bisola,3 index,1225,2,82
Bondra,2 index,1120,2,60
Chak Paswara,5 index,2400,5,625
Chamraud,3 index,1225,2,69
Chandlawar Urf Mahalwala,4 index,5200,5,242
Chandpur,4 index,4000,4,700
Chhuchai,3 index,1984,4,145
Chitwana Sherpur,3 index,2425,3,197
Dabkheri,3 index,1200,3,56.12
Dabthla,2 index,1127,2,45
Dariapur,3 index,1655,3,97
Daulatpur Urf Mamipur,1 index,500,1,14
Dayalpur,3 index,1200,3,68.38
Dayalpur,2 index,1000,2,43
Dedupur,2 index,1225,2,47.88
Dhanpura,2 index,1350,2,45
Dhanpura,4 index,600,5,95
Dhikauli,2 index,1175,2,49
Dhuma Nagli,1 index,655,1,27
Dudheli Bangar,3 index,1311,2,84.86
Dudhli Khadar,3 index,600,4,90
Duperi Chaw,2 index,1000,2,38.5
Durveshpur,2 index,1196,2,96
Fajilpur,3 index,1050,2,59
Fatehpur Narain,3 index,1275,2,52
Fatehpur Prem,2 index,927,2,50
Firozpur,3 index,1520,2,61
Ftahpur Hansapur,4 index,2400,5,395
Gagsona,2 index,1333,2,104
Gajraula,1 index,600,1,18
Gajrauli,3 index,1326,2,34.8
Gajupura,3 index,1618 - 1929,,85.125
Ganeshpur,2 index,1370,2,125
Garina,2 index,1100,2,85
Gayanagla Urf Nagla Katar,3 index,1650,3,100
Gazipur,3 index,1917,3,132
Gesupur Januvi,3 index,780,3,75
Gesupur Shumali,2 index,950,2,58.11
Gokulpur,2 index,1175,2,48.72
Govindpur Sakarpur,2 index,1089,2,43.55
Govindpuri,3 index,1804,3,175
Guramb,2 index,1257,2,68.5
Gurha,1 index,650,1,19.87
Hadipur Gaori,3 index,1850,3,150
Haripur,4 index,2800,4,200
Harisinghpur,2 index,945,2,40
Hasanpur Kalan,2 index,1161,2,63.85
Hastinapur (NP),3 index,1630,3,51.35
Hastinapur Kaurwan,3 index,1310,2,60
Hastinapur Pandwan,2 index,750,2,28
Hatoopura,3 index,1200,3,67.77
Hazratpur,2 index,1000,2,45
Himaupur,4 index,4000,4,225
Ibrahimpur,2 index,1315,2,70
Ikwara,3 index,1370,2,90
Issapur,5 index,1200,4,150
Jafarpur Nagla,2 index,1465,3,90
Jai,3 index,20000,3,175
Jaisinghpur,2 index,1128,2,64
Jalalpur Jora,3 index,1250,2,70
Jalalpur Maqbulpur,3 index,1645,3,117
Jalalpur Raunakali,3 index,1284,2,75
Jamalpur Khadar,3 index,2600,3,199
Jamalpur-Meghrajpur,3 index,1820,3,150
Jandheri,3 index,1580,3,73
Jarauda,3 index,2650,3,125
Jataula,2 index,1215,2,68
Jeetpur,2 index,1075,2,40
Jharaka,3 index,1400,2,78
Jhijharpur,3 index,1400,2,55
Jhunjhunee,2 index,845,2,30
Kabirpur,4 index,2600,4,40
Kailirampur,4 index,3508 - 4201,6,385.5
Kandala,2 index,800,2,85
Kanker Khera,2 index,1199,2,85
Kareempur,2 index,1175,2,43.48
Kasimpur,3 index,2400,3,270
Katra,3 index,1767,3,109
Kayasth Barha,4 index,1800,3,90
Khaikhera,3 index,1856,3,135
Khalidpur,3 index,1200,3,140
Khand Awli,3 index,1613,3,150
Khanpur Banger,4 index,6830,5,795
Khanpur Garhi,2 index,1290,2,90
Khanwala,2 index,1375,2,78
Kharkhali,2 index,985,2,57
Khata,4 index,1200,4,200
Khatki,2 index,1099,2,37.5
Khejuri Alyarpur,1 index,605,1,13.31
Kheri Kalan,11 index,6000,12,150
Kheri Khurd,7 index,3600,7,160
Kheri Manihar,2 index,1200,2,53
Kherki Jadid,2 index,1000,2,45
Khijarpur,3 index,1159,2,38
Khor Ahir,5 index,3692,5,340
Khorrai,2 index,600,2,80
Kiratpur,4 index,2400,4,600
Kishanpur,3 index,1540,2,78
Kishanpur Birana,3 index,1503,2,93
Kishorpur,3 index,1850,4,120
Kithaur (NP),3 index,1580,3,60
Kithor Rural,2 index,1190,2,39.25
Kohla,2 index,1200,2,61
Kol,7 index,1000,7,250
Kunda,2 index,850,1,19.9
Kunehra,3 index,2180,3,285
Kuri Kamalpur,3 index,2500,2,60
Kutubpur,3 index,1200,3,56.12
Laliyana,3 index,1500,2,52
Lalpur,5 index,1200,3,180
Lalpur,3 index,1880,3,120
Latifpur,2 index,1150,2,45
Lutfullapur Baksar,4 index,4408,4,344
Machhra,2 index,924,2,35.11
Mahamudpur Shikhera,5 index,7800,6,385
Mahmudabad,6 index,600,6,100
Mahmudpur Garvi,4 index,750,4,95
Mahmudpur Sherki,3 index,1962,3,175
Makhannagar,5 index,1200,4,240
Makhdumpur,3 index,1765,3,77.27
Mamipur,2 index,1174,2,29.35
Mandwari,3 index,1894,3,115
Manoharpur,4 index,960,2,138
Manpur,3 index,1760,3,142
Manpur,3 index,1768,3,95
Matora,3 index,1790,3,97
Mavi,4 index,3500,5,800
Mawana (NPP),2 index,1200,2,45
Mawana Kalan,4 index,2540,4,160
Mawana Khurd,2 index,1137,2,53.4
Meerpur,4 index,2249.81 - 4112.19,,229
Meerpur Sadhunagal,7 index,1200,6,115
Meghrajpur,3 index,1568,2,100
Mewa,4 index,4900 - 4940,4,393.5
Mirzapur,2 index,1308,2,60
Mishipur,4 index,3060,4,350
Mohammadpur Kheri,3 index,1200,2,41
Mohammadpur Shakist,1 index,800,1,32
Mor Kalan,1 index,530,1,13.5
Morkhurd,3 index,873,2,40
Mubarikpur,7 index,3000,6,145
Mubarikpur,4 index,1200,4,235
Murad Gaon Urf Kuwan Khera,2 index,958,2,33.53
Muradpur Urf Sholda,3 index,2072,4,160
Muzaffarpur Khunti,3 index,2273,3,159
Nagla Azdi,3 index,600,3,90
Nagla Chand,1 index,760,1,50
Nagla Gusai,2 index,1090,2,43.5
Nagla Hareroo,3 index,2072,4,155
Nagla Jarif,3 index,2666,3,230
Nagla Salempur,3 index,1550,2,89
Nagla Shahu,2 index,1251,2,50
Nagli Abdulla,2 index,1070,2,53
Nagli Issa,2 index,1200,2,45
Nagli Khadar,3 index,1435,2,60
Nagli Kithaur,3 index,1400,2,45
Nagori,4 index,2330,3,94.71
Nai Putha,2 index,1200,2,60
Naidru,2 index,1000,2,40
Narangpur,3 index,1655,2,62.89
Nasarpur,9 index,3600,9,240
Navipur Amanatnagar,1 index,600,1,35
Nawal Surajpur,2 index,1175,2,50
Neemka,2 index,1155,2,40.43
Niloha,3 index,1200,3,98
Nimka Viran,2 index,1149,2,65
Nirawali,3 index,1610 - 1880,,98.485
Nityanandpur,4 index,3200,4,375
Paharpur,2 index,1010,2,55
Paharpur Kutub,3 index,1718,3,119
Paharpur Ram,2 index,650,1,20
Pali,2 index,1330,2,77
Palra,2 index,1200,2,68
Parichhatgarh,3 index,1693,3,89
Parikshitgarh (NP),2 index,1249,2,165
Partapur Hansapur,3 index,1800,4,125
Paswara,2 index,900,2,55
Pathanpur,2 index,1020,2,46
Penai,3 index,1700,3,77
Phalauda (NP),1 index,661,1,40
